Gene stable ID	CDS Length	Transcript count
ENSG00000275407	1047	1
ENSG00000276379	657	1
ENSG00000277616	1047	1
ENSG00000275751		2
ENSG00000278805	1047	1
ENSG00000275442		2
ENSG00000277345	1125	1
ENSG00000276459	1026	1
ENSG00000277484	1026	1
ENSG00000276858	540	13
ENSG00000276858	684	13
ENSG00000276858	720	13
ENSG00000276858		13
ENSG00000276858	864	13
ENSG00000276858	576	13
ENSG00000276858	798	13
ENSG00000276858	762	13
ENSG00000276858	630	13
ENSG00000276858	828	13
ENSG00000276858	537	13
ENSG00000276424	1368	2
ENSG00000276424	1317	2
ENSG00000274861		2
ENSG00000278248	1047	1
ENSG00000274339		1
ENSG00000280579		3
ENSG00000276501	1335	1
ENSG00000273775	1335	2
ENSG00000273775	1284	2
ENSG00000276970		1
ENSG00000275018	2490	1
ENSG00000280708		3
ENSG00000277272	1335	2
ENSG00000277272	1284	2
ENSG00000281416		1
ENSG00000275974	495	1
ENSG00000277070		1
ENSG00000276676	915	1
ENSG00000280460		1
ENSG00000274574		1
ENSG00000273990		1
ENSG00000277376		1
ENSG00000273757		1
ENSG00000276258	915	1
ENSG00000275946	1128	1
ENSG00000274189	822	2
ENSG00000274189	1251	2
ENSG00000273735	1000	2
ENSG00000273735	666	2
ENSG00000276820	1047	1
ENSG00000276433	1233	1
ENSG00000278306	915	1
ENSG00000276357	1368	2
ENSG00000276357	1317	2
ENSG00000275732	1134	2
ENSG00000275732	1029	2
ENSG00000275717	1335	3
ENSG00000275717	1284	3
ENSG00000275717	1050	3
ENSG00000274696	1233	2
ENSG00000274696	1365	2
ENSG00000274807	893	2
ENSG00000274807	677	2
ENSG00000275112		1
ENSG00000277742		1
ENSG00000274518	915	1
ENSG00000278360		1
ENSG00000275938		1
ENSG00000281935	9591	6
ENSG00000281935	1947	6
ENSG00000281935	959	6
ENSG00000281935		6
ENSG00000281935	255	6
ENSG00000276139	615	3
ENSG00000276139	915	3
ENSG00000276139	864	3
ENSG00000276013		1
ENSG00000273575	822	6
ENSG00000273575	771	6
ENSG00000273575	1029	6
ENSG00000273575	1200	6
ENSG00000273575		6
ENSG00000273575	1251	6
ENSG00000274120		2
ENSG00000277317	1026	1
ENSG00000274945	822	5
ENSG00000274945	1200	5
ENSG00000274945	978	5
ENSG00000274945	1029	5
ENSG00000274945	1251	5
ENSG00000276974		1
ENSG00000278325		1
ENSG00000277176		2
ENSG00000276425	915	1
ENSG00000276930	1233	1
ENSG00000275421	915	1
ENSG00000274146	1335	2
ENSG00000274146	1284	2
ENSG00000276329	1335	1
ENSG00000277630	1755	2
ENSG00000277630	1146	2
ENSG00000275172	1233	1
ENSG00000276518	987	1
ENSG00000278152	915	2
ENSG00000278152	1026	2
ENSG00000274782	1047	1
ENSG00000274714	893	1
ENSG00000273947	1026	1
ENSG00000275422		1
ENSG00000276885	915	1
ENSG00000274851		1
ENSG00000277334	682	6
ENSG00000277334		6
ENSG00000277334	646	6
ENSG00000277334	397	6
ENSG00000277334	361	6
ENSG00000276779	1134	1
ENSG00000275914	1047	1
ENSG00000273688		1
ENSG00000277570		1
ENSG00000275786	1335	3
ENSG00000275786	1050	3
ENSG00000275786	1284	3
ENSG00000276306		1
ENSG00000274955	1134	3
ENSG00000274955	1029	3
ENSG00000274955	738	3
ENSG00000277193	915	1
ENSG00000277185		1
ENSG00000275288	1335	1
ENSG00000276392	1128	1
ENSG00000278793		1
ENSG00000275237	822	2
ENSG00000275237	1251	2
ENSG00000276247		2
ENSG00000276212		2
ENSG00000278207	1047	1
ENSG00000276044	822	4
ENSG00000276044	1029	4
ENSG00000276044	1251	4
ENSG00000276044	738	4
ENSG00000276099		1
ENSG00000281738		1
ENSG00000274243	1197	1
ENSG00000273578	1047	1
ENSG00000281250		2
ENSG00000278414	1128	1
ENSG00000278786		2
ENSG00000275035		9
ENSG00000275035	996	9
ENSG00000275035	945	9
ENSG00000275035	366	9
ENSG00000275035	289	9
ENSG00000275035	52	9
ENSG00000274639	1233	1
ENSG00000276498	1149	2
ENSG00000276498	1167	2
ENSG00000274948	1335	1
ENSG00000278051		1
ENSG00000274724	1233	1
ENSG00000278850	1368	2
ENSG00000278850	1317	2
ENSG00000277835		2
ENSG00000276035		1
ENSG00000275521	682	6
ENSG00000275521		6
ENSG00000275521	646	6
ENSG00000275521	397	6
ENSG00000275521	361	6
ENSG00000276001		1
ENSG00000277964	1134	1
ENSG00000276985	540	13
ENSG00000276985	684	13
ENSG00000276985	720	13
ENSG00000276985		13
ENSG00000276985	864	13
ENSG00000276985	576	13
ENSG00000276985	798	13
ENSG00000276985	762	13
ENSG00000276985	630	13
ENSG00000276985	828	13
ENSG00000276985	537	13
ENSG00000276423	1335	1
ENSG00000278710	1368	2
ENSG00000278710	1317	2
ENSG00000278625		1
ENSG00000262025		1
ENSG00000263275		1
ENSG00000273510	1047	1
ENSG00000262299		1
ENSG00000281954		1
ENSG00000262767		1
ENSG00000275848	1134	1
ENSG00000277551		1
ENSG00000275245		1
ENSG00000261992	1782	1
ENSG00000276154	915	1
ENSG00000278755	1047	1
ENSG00000274545		1
ENSG00000275225		1
ENSG00000278490	1233	1
ENSG00000278856	1335	2
ENSG00000278856	1284	2
ENSG00000277267		2
ENSG00000276534	1149	1
ENSG00000262647	984	1
ENSG00000281107	936	1
ENSG00000263130		1
ENSG00000277078	1125	1
ENSG00000262268		1
ENSG00000281313		1
ENSG00000263163	2436	13
ENSG00000263163	2193	13
ENSG00000263163		13
ENSG00000263163	1202	13
ENSG00000263163	433	13
ENSG00000263163	457	13
ENSG00000274830	1026	1
ENSG00000275659	1335	2
ENSG00000275659	1233	2
ENSG00000277725	1047	1
ENSG00000281279		1
ENSG00000262535		4
ENSG00000274722	1368	2
ENSG00000274722	1317	2
ENSG00000276590	1026	1
ENSG00000276004	1368	2
ENSG00000276004	1317	2
ENSG00000276197		1
ENSG00000273502	1278	2
ENSG00000273502	1233	2
ENSG00000274917		1
ENSG00000273730		1
ENSG00000273937		1
ENSG00000275750	1047	1
ENSG00000273526	1197	1
ENSG00000281777		1
ENSG00000278758	1368	2
ENSG00000278758	1317	2
ENSG00000261958	918	1
ENSG00000277076	1083	5
ENSG00000277076	1134	5
ENSG00000277076	978	5
ENSG00000277076	939	5
ENSG00000277076	1029	5
ENSG00000275433	1164	1
ENSG00000273522		1
ENSG00000281683		1
ENSG00000262191	918	1
ENSG00000278726	1368	2
ENSG00000278726	1317	2
ENSG00000281839		1
ENSG00000273738	540	13
ENSG00000273738	684	13
ENSG00000273738	720	13
ENSG00000273738		13
ENSG00000273738	864	13
ENSG00000273738	576	13
ENSG00000273738	798	13
ENSG00000273738	762	13
ENSG00000273738	630	13
ENSG00000273738	828	13
ENSG00000273738	537	13
ENSG00000278345		1
ENSG00000276806	1233	1
ENSG00000282469		2
ENSG00000275080	1047	1
ENSG00000276333	1029	1
ENSG00000282650		3
ENSG00000282069		1
ENSG00000280271		2
ENSG00000279566	1426	4
ENSG00000277650	915	1
ENSG00000279614		1
ENSG00000278329		1
ENSG00000276218	1026	1
ENSG00000273661	1047	1
ENSG00000274746	1629	5
ENSG00000274746	1437	5
ENSG00000274746	189	5
ENSG00000274746	468	5
ENSG00000274746		5
ENSG00000274108	1026	1
ENSG00000278442	1368	2
ENSG00000278442	1317	2
ENSG00000277362	1134	1
ENSG00000274271		1
ENSG00000274676	1128	1
ENSG00000277356	1047	1
ENSG00000262994		1
ENSG00000275289		2
ENSG00000269823	423	1
ENSG00000279280		1
ENSG00000276999		1
ENSG00000262710		1
ENSG00000279112		2
ENSG00000262469		1
ENSG00000276295		1
ENSG00000267728	525	2
ENSG00000267728	465	2
ENSG00000275531		1
ENSG00000280218		1
ENSG00000273881		1
ENSG00000275815		1
ENSG00000280066		1
ENSG00000277940		1
ENSG00000278369	1050	1
ENSG00000278327	1026	1
ENSG00000263090	525	1
ENSG00000262512	465	1
ENSG00000273887	1026	1
ENSG00000262749	480	1
ENSG00000263103		1
ENSG00000274480	1233	1
ENSG00000267635	525	1
ENSG00000276450	682	1
ENSG00000267208		1
ENSG00000262573	525	1
ENSG00000275136	540	13
ENSG00000275136	684	13
ENSG00000275136	720	13
ENSG00000275136		13
ENSG00000275136	864	13
ENSG00000275136	576	13
ENSG00000275136	798	13
ENSG00000275136	762	13
ENSG00000275136	630	13
ENSG00000275136	828	13
ENSG00000275136	537	13
ENSG00000263115		1
ENSG00000262218	1026	1
ENSG00000262896	465	1
ENSG00000275436	1128	1
ENSG00000263263	483	1
ENSG00000275970	540	13
ENSG00000275970	684	13
ENSG00000275970	720	13
ENSG00000275970		13
ENSG00000275970	864	13
ENSG00000275970	576	13
ENSG00000275970	798	13
ENSG00000275970	762	13
ENSG00000275970	630	13
ENSG00000275970	828	13
ENSG00000275970	537	13
ENSG00000262221	510	1
ENSG00000274193	1134	2
ENSG00000274193	1029	2
ENSG00000274708		1
ENSG00000262542	1026	1
ENSG00000262214		1
ENSG00000262946		1
ENSG00000275795		1
ENSG00000262594	510	1
ENSG00000275937	1128	1
ENSG00000274707	1128	1
ENSG00000277963		2
ENSG00000277885	915	1
ENSG00000276011	1047	1
ENSG00000273929		1
ENSG00000274556	1233	1
ENSG00000277552	1233	1
ENSG00000277750	1134	1
ENSG00000274788		2
ENSG00000275452	915	2
ENSG00000275452	1026	2
ENSG00000274912		1
ENSG00000276395	915	1
ENSG00000278474	1368	2
ENSG00000278474	1317	2
ENSG00000276310	1047	1
ENSG00000274786	1233	1
ENSG00000274920	1335	2
ENSG00000274920	1284	2
ENSG00000263057	1275	2
ENSG00000263057		2
ENSG00000273794	1047	2
ENSG00000273794	1125	2
ENSG00000275456	1134	1
ENSG00000278025	682	8
ENSG00000278025		8
ENSG00000278025	646	8
ENSG00000278025	397	8
ENSG00000278025	361	8
ENSG00000262068	297	2
ENSG00000262068		2
ENSG00000275887		2
ENSG00000263296	297	1
ENSG00000275546	1047	1
ENSG00000262121	633	1
ENSG00000263091	387	1
ENSG00000264450		1
ENSG00000263309	1269	9
ENSG00000263309	858	9
ENSG00000263309	114	9
ENSG00000263309		9
ENSG00000263309	450	9
ENSG00000263309	156	9
ENSG00000278339		1
ENSG00000275051	2586	9
ENSG00000275051	2490	9
ENSG00000275051	495	9
ENSG00000275051	367	9
ENSG00000275051	451	9
ENSG00000275051	352	9
ENSG00000275051	518	9
ENSG00000275051		9
ENSG00000278079	1335	2
ENSG00000278079	1284	2
ENSG00000274465	1149	2
ENSG00000274465	1167	2
ENSG00000276808		1
ENSG00000278190		1
ENSG00000274947	915	1
ENSG00000276243		2
ENSG00000276465	892	1
ENSG00000281020		4
ENSG00000281020	243	4
ENSG00000274082		1
ENSG00000277392	1233	1
ENSG00000275168		1
ENSG00000281775		10
ENSG00000281775	1260	10
ENSG00000277603		15
ENSG00000277603	525	15
ENSG00000277603	2748	15
ENSG00000277603	2577	15
ENSG00000277603	515	15
ENSG00000277603	2229	15
ENSG00000277603	2595	15
ENSG00000277603	1042	15
ENSG00000277603	1038	15
ENSG00000277603	2670	15
ENSG00000277603	2802	15
ENSG00000278573		1
ENSG00000276209	893	2
ENSG00000276209	677	2
ENSG00000277196	1803	2
ENSG00000277196	1479	2
ENSG00000278288		2
ENSG00000278656	1368	2
ENSG00000278656	1317	2
ENSG00000273517	915	1
ENSG00000277596	880	1
ENSG00000274610	987	1
ENSG00000275059		1
ENSG00000276324		1
ENSG00000277240		1
ENSG00000282534		1
ENSG00000273955		1
ENSG00000274563	915	1
ENSG00000275269	540	13
ENSG00000275269	684	13
ENSG00000275269	720	13
ENSG00000275269		13
ENSG00000275269	864	13
ENSG00000275269	576	13
ENSG00000275269	798	13
ENSG00000275269	762	13
ENSG00000275269	630	13
ENSG00000275269	828	13
ENSG00000275269	537	13
ENSG00000275021		1
ENSG00000274429	2643	10
ENSG00000274429		10
ENSG00000274429	5760	10
ENSG00000274429	1795	10
ENSG00000274429	645	10
ENSG00000276552		1
ENSG00000278411		1
ENSG00000278833		2
ENSG00000262845	711	3
ENSG00000262845	1296	3
ENSG00000275629	1368	2
ENSG00000275629	1317	2
ENSG00000277850	822	5
ENSG00000277850	978	5
ENSG00000277850	1029	5
ENSG00000277850	693	5
ENSG00000277850	1134	5
ENSG00000278368	1335	2
ENSG00000278368	1284	2
ENSG00000281753		1
ENSG00000280541		1
ENSG00000281289	1649	9
ENSG00000281289		9
ENSG00000281289	409	9
ENSG00000281289	233	9
ENSG00000278817	663	1
ENSG00000276017	1287	1
ENSG00000280830	300	1
ENSG00000262808	534	1
ENSG00000274891		7
ENSG00000274891	1161	7
ENSG00000274891	1095	7
ENSG00000274891	1140	7
ENSG00000262731	387	2
ENSG00000262731	372	2
ENSG00000276882	1368	2
ENSG00000276882	1317	2
ENSG00000263229	588	1
ENSG00000262487		1
ENSG00000262376		1
ENSG00000262347	504	1
ENSG00000262520	708	1
ENSG00000263243	1485	1
ENSG00000274771		1
ENSG00000261862	525	1
ENSG00000280770		1
ENSG00000281723		1
ENSG00000262164	1476	3
ENSG00000262164	555	3
ENSG00000262164		3
ENSG00000262616		1
ENSG00000261852	387	2
ENSG00000261852	375	2
ENSG00000263101	297	1
ENSG00000262862	387	1
ENSG00000263236	606	1
ENSG00000263242	366	1
ENSG00000277028	1233	1
ENSG00000266286	633	1
ENSG00000261968	588	2
ENSG00000261968	558	2
ENSG00000281062		4
ENSG00000282480		1
ENSG00000282766		1
ENSG00000282329		1
ENSG00000277560		1
ENSG00000281496		1
ENSG00000275428		4
ENSG00000275428	4302	4
ENSG00000275416	1368	2
ENSG00000275416	1317	2
ENSG00000281617		5
ENSG00000274679	561	2
ENSG00000274679	1023	2
ENSG00000275353	915	1
ENSG00000273752		1
ENSG00000278116	1128	1
ENSG00000275500	915	1
ENSG00000276938		2
ENSG00000277442	682	3
ENSG00000277442	646	3
ENSG00000277442	397	3
ENSG00000276327	915	1
ENSG00000267237		1
ENSG00000281577		1
ENSG00000267639		1
ENSG00000274597		1
ENSG00000281503		1
ENSG00000282391		1
ENSG00000274706		1
ENSG00000278809	1368	2
ENSG00000278809	1317	2
ENSG00000278747		1
ENSG00000278495	1047	2
ENSG00000278495	1125	2
ENSG00000276371		9
ENSG00000276371	222	9
ENSG00000276371	666	9
ENSG00000276371	178	9
ENSG00000276371	403	9
ENSG00000276371	380	9
ENSG00000281232		1
ENSG00000277921		1
ENSG00000277554	1026	1
ENSG00000278074	1134	1
ENSG00000274692	1047	1
ENSG00000281763		8
ENSG00000281763	275	8
ENSG00000281763	651	8
ENSG00000281763	15	8
ENSG00000277657	915	1
ENSG00000275062	1233	1
ENSG00000275513	1233	1
ENSG00000282388		1
ENSG00000277567		1
ENSG00000282551		1
ENSG00000282176		1
ENSG00000275637	682	8
ENSG00000275637		8
ENSG00000275637	646	8
ENSG00000275637	397	8
ENSG00000275637	361	8
ENSG00000282507		1
ENSG00000263322		1
ENSG00000277101		5
ENSG00000277101	1341	5
ENSG00000277101	2376	5
ENSG00000277101	2616	5
ENSG00000282112		1
ENSG00000262102	3669	1
ENSG00000277691		2
ENSG00000282220		2
ENSG00000277982	1368	2
ENSG00000277982	1317	2
ENSG00000277375		1
ENSG00000273918		1
ENSG00000280759	416	22
ENSG00000280759	187	22
ENSG00000280759	181	22
ENSG00000280759	271	22
ENSG00000280759		22
ENSG00000280759	469	22
ENSG00000280759	519	22
ENSG00000280759	1904	22
ENSG00000280759	1070	22
ENSG00000280759	2753	22
ENSG00000280759	422	22
ENSG00000279612		1
ENSG00000275593		2
ENSG00000276625	1047	2
ENSG00000276625	1125	2
ENSG00000282606		1
ENSG00000274957	915	1
ENSG00000275317	1083	5
ENSG00000275317	693	5
ENSG00000275317	1134	5
ENSG00000275317	740	5
ENSG00000275317	933	5
ENSG00000278140		1
ENSG00000281949		1
ENSG00000276328	1233	1
ENSG00000282330		1
ENSG00000281995		1
ENSG00000278614		1
ENSG00000281942		2
ENSG00000279389	477	5
ENSG00000279389	105	5
ENSG00000279389	94	5
ENSG00000279389		5
ENSG00000278430	1134	5
ENSG00000278430	1083	5
ENSG00000278430	1029	5
ENSG00000278430	939	5
ENSG00000278430		5
ENSG00000282752	2417	5
ENSG00000282752	2213	5
ENSG00000282752	236	5
ENSG00000282752		5
ENSG00000262860	1392	8
ENSG00000262860	309	8
ENSG00000262860	1032	8
ENSG00000262860		8
ENSG00000262860	434	8
ENSG00000262860	243	8
ENSG00000282233		3
ENSG00000282770		2
ENSG00000282690		1
ENSG00000281157		4
ENSG00000274438	915	1
ENSG00000276516		1
ENSG00000276274		1
ENSG00000274163		1
ENSG00000274842		2
ENSG00000276254		1
ENSG00000274406	915	1
ENSG00000275671		1
ENSG00000275276	1047	1
ENSG00000277518	14143	5
ENSG00000277518		5
ENSG00000277518	7320	5
ENSG00000275517	1743	5
ENSG00000275517	537	5
ENSG00000275517	597	5
ENSG00000275517	1002	5
ENSG00000275517	1251	5
ENSG00000275008	1026	1
ENSG00000275599	915	1
ENSG00000273670		1
ENSG00000274476		1
ENSG00000262113		1
ENSG00000277456		1
ENSG00000274283	1149	2
ENSG00000274283	1167	2
ENSG00000278606	822	5
ENSG00000278606	978	5
ENSG00000278606	1200	5
ENSG00000278606		5
ENSG00000278606	1251	5
ENSG00000274980		1
ENSG00000278788	4101	11
ENSG00000278788	3930	11
ENSG00000278788	4071	11
ENSG00000278788		11
ENSG00000278788	385	11
ENSG00000278788	384	11
ENSG00000278788	335	11
ENSG00000274009		1
ENSG00000274942		1
ENSG00000273518	1335	2
ENSG00000273518	1284	2
ENSG00000282352		1
ENSG00000282037		1
ENSG00000282782		1
ENSG00000282611		1
ENSG00000282677		1
ENSG00000282536		1
ENSG00000282715		1
ENSG00000278853		1
ENSG00000252379		1
ENSG00000277428		1
ENSG00000276256	363	1
ENSG00000278063		1
ENSG00000263270		3
ENSG00000276084	1233	1
ENSG00000277354	153	3
ENSG00000277354	181	3
ENSG00000277354	331	3
ENSG00000277251	1047	1
ENSG00000281351		1
ENSG00000280559		3
ENSG00000280647		1
ENSG00000278476		1
ENSG00000274382	681	1
ENSG00000279215		1
ENSG00000276307		1
ENSG00000273883		2
ENSG00000281644		4
ENSG00000282753		1
ENSG00000282649		3
ENSG00000278821	1047	2
ENSG00000278821	1125	2
ENSG00000278666		13
ENSG00000282302	31	7
ENSG00000282302	19	7
ENSG00000282302	135	7
ENSG00000282302		7
ENSG00000277271		2
ENSG00000275247		1
ENSG00000277729		1
ENSG00000275351	893	1
ENSG00000278304	915	1
ENSG00000277833	1047	2
ENSG00000277833	1125	2
ENSG00000281254		1
ENSG00000281173		1
ENSG00000278508		2
ENSG00000276686	1128	1
ENSG00000278201	1134	2
ENSG00000278201	1029	2
ENSG00000278427	1335	2
ENSG00000278427	1284	2
ENSG00000280971		1
ENSG00000262679		1
ENSG00000262536		1
ENSG00000262156		4
ENSG00000262156	600	4
ENSG00000278361	1368	2
ENSG00000278361	1317	2
ENSG00000280807	52	5
ENSG00000280807	68	5
ENSG00000280807	309	5
ENSG00000281919	705	4
ENSG00000281919	495	4
ENSG00000281919	375	4
ENSG00000281919	170	4
ENSG00000274106		1
ENSG00000277976		1
ENSG00000279974		1
ENSG00000277389	390	1
ENSG00000274402	1026	1
ENSG00000262453		1
ENSG00000278780	322	6
ENSG00000278780		6
ENSG00000278780	327	6
ENSG00000278780	324	6
ENSG00000280585	837	1
ENSG00000277069	1410	1
ENSG00000278620	867	2
ENSG00000278620	498	2
ENSG00000278247	2007	1
ENSG00000275255		2
ENSG00000281690		4
ENSG00000281690	489	4
ENSG00000273528		2
ENSG00000275262	1368	2
ENSG00000275262	1317	2
ENSG00000277091		1
ENSG00000278302	666	2
ENSG00000278302	558	2
ENSG00000278633	1287	1
ENSG00000278066		1
ENSG00000275486	1335	1
ENSG00000274449		1
ENSG00000281261		2
ENSG00000279318		1
ENSG00000278489	534	1
ENSG00000281737		1
ENSG00000281633		1
ENSG00000274296	879	17
ENSG00000274296	843	17
ENSG00000274296	428	17
ENSG00000274296	249	17
ENSG00000274296	636	17
ENSG00000274296	246	17
ENSG00000274296	715	17
ENSG00000274296		17
ENSG00000274296	283	17
ENSG00000281725		2
ENSG00000281176		4
ENSG00000281240		1
ENSG00000278091	189	10
ENSG00000278091	358	10
ENSG00000278091	264	10
ENSG00000278091	440	10
ENSG00000278091	367	10
ENSG00000278091	1788	10
ENSG00000278091	387	10
ENSG00000278091	168	10
ENSG00000278091	1689	10
ENSG00000278091	1611	10
ENSG00000281783		1
ENSG00000281111		1
ENSG00000278165	1878	3
ENSG00000278165		3
ENSG00000281733		2
ENSG00000281754		1
ENSG00000280490		1
ENSG00000275920	717	1
ENSG00000277046		1
ENSG00000277068	687	2
ENSG00000277068	660	2
ENSG00000280500		2
ENSG00000281829		1
ENSG00000281149		1
ENSG00000278070		1
ENSG00000281618		3
ENSG00000281618	150	3
ENSG00000280986		2
ENSG00000278210	837	1
ENSG00000281076		5
ENSG00000281191	717	1
ENSG00000280737		1
ENSG00000281645		1
ENSG00000281533	534	1
ENSG00000277291	714	1
ENSG00000278230		1
ENSG00000276582	1356	2
ENSG00000276582		2
ENSG00000275321		1
ENSG00000280679		1
ENSG00000280428		1
ENSG00000281801		4
ENSG00000280030		1
ENSG00000280839		5
ENSG00000280784		1
ENSG00000275050	174	3
ENSG00000275050	324	3
ENSG00000275050	1806	3
ENSG00000280557		1
ENSG00000280618		12
ENSG00000280618	2588	12
ENSG00000280618	553	12
ENSG00000280618	137	12
ENSG00000280618	483	12
ENSG00000280618	453	12
ENSG00000280618	234	12
ENSG00000280765		1
ENSG00000277175	1335	2
ENSG00000277175	1284	2
ENSG00000278373	1068	5
ENSG00000278373	465	5
ENSG00000278373	309	5
ENSG00000278373	243	5
ENSG00000278373		5
ENSG00000280898		1
ENSG00000277153		1
ENSG00000273793	1878	3
ENSG00000273793		3
ENSG00000281374		3
ENSG00000275083	1368	2
ENSG00000275083	1317	2
ENSG00000274657		1
ENSG00000281077		1
ENSG00000261846	162	2
ENSG00000261846	1206	2
ENSG00000277909		5
ENSG00000277909	675	5
ENSG00000277909	346	5
ENSG00000281651		1
ENSG00000262411		1
ENSG00000275253	915	1
ENSG00000276565	597	1
ENSG00000262466		2
ENSG00000275626	1368	2
ENSG00000275626	1317	2
ENSG00000281151	133	19
ENSG00000281151	585	19
ENSG00000281151	1093	19
ENSG00000281151	1175	19
ENSG00000281151	1145	19
ENSG00000281151	1229	19
ENSG00000281151	1109	19
ENSG00000281151	1139	19
ENSG00000281151		19
ENSG00000281151	886	19
ENSG00000281151	462	19
ENSG00000262473	672	8
ENSG00000262473		8
ENSG00000262473	926	8
ENSG00000276595	2304	2
ENSG00000276595	1602	2
ENSG00000282201		1
ENSG00000281567		1
ENSG00000277364		1
ENSG00000275338	2271	11
ENSG00000275338	2034	11
ENSG00000275338	547	11
ENSG00000275338		11
ENSG00000275338	473	11
ENSG00000275338	411	11
ENSG00000275338	1383	11
ENSG00000275326		12
ENSG00000275326	387	12
ENSG00000275326	1179	12
ENSG00000275326	1350	12
ENSG00000275326	62	12
ENSG00000275336		1
ENSG00000276777		1
ENSG00000273681		1
ENSG00000281012		1
ENSG00000278364		1
ENSG00000273501		1
ENSG00000275009	2007	1
ENSG00000278036		1
ENSG00000281703		1
ENSG00000278019		1
ENSG00000280619		1
ENSG00000281380		1
ENSG00000273772	789	11
ENSG00000273772	885	11
ENSG00000273772	684	11
ENSG00000273772	849	11
ENSG00000273772		11
ENSG00000273772	240	11
ENSG00000280461		1
ENSG00000262148		1
ENSG00000262911	1167	4
ENSG00000281513		1
ENSG00000281081		1
ENSG00000276856	3081	11
ENSG00000276856	446	11
ENSG00000276856	3075	11
ENSG00000276856		11
ENSG00000276856	676	11
ENSG00000276856	582	11
ENSG00000276856	500	11
ENSG00000276856	438	11
ENSG00000281464		3
ENSG00000281048		4
ENSG00000262892		1
ENSG00000262795	140	6
ENSG00000262795	998	6
ENSG00000262795	993	6
ENSG00000262795	941	6
ENSG00000262795	41	6
ENSG00000262795	182	6
ENSG00000275495		13
ENSG00000262634	768	5
ENSG00000262634	630	5
ENSG00000262634	315	5
ENSG00000262634	273	5
ENSG00000278271	1134	1
ENSG00000282429		1
ENSG00000280815		1
ENSG00000278659	927	1
ENSG00000263141	472	5
ENSG00000263141		5
ENSG00000282378		1
ENSG00000282485		1
ENSG00000275754	975	1
ENSG00000282214		4
ENSG00000282110		4
ENSG00000274018		1
ENSG00000275617	1047	1
ENSG00000282085		1
ENSG00000281758		3
ENSG00000281758	88	3
ENSG00000282443		1
ENSG00000275047	915	1
ENSG00000262132		1
ENSG00000262938	660	4
ENSG00000262938	801	4
ENSG00000281559		1
ENSG00000281489	927	1
ENSG00000275511	1368	2
ENSG00000275511	1317	2
ENSG00000280838		1
ENSG00000274681		1
ENSG00000273508	1110	1
ENSG00000280635	339	1
ENSG00000281470		1
ENSG00000263140		7
ENSG00000277113	957	1
ENSG00000282464		1
ENSG00000274763	1233	1
ENSG00000273831	1629	1
ENSG00000281486	693	1
ENSG00000275102	948	1
ENSG00000263160		10
ENSG00000263160	477	10
ENSG00000263160	135	10
ENSG00000263160	456	10
ENSG00000263160	244	10
ENSG00000280072		1
ENSG00000281658		1
ENSG00000281914		1
ENSG00000281425		1
ENSG00000282103		3
ENSG00000280638		1
ENSG00000280840		4
ENSG00000276512		2
ENSG00000282347		1
ENSG00000282245		1
ENSG00000278562		1
ENSG00000282665	22	3
ENSG00000282665		3
ENSG00000274254	1233	1
ENSG00000276910	1188	14
ENSG00000276910		14
ENSG00000276910	156	14
ENSG00000276910	457	14
ENSG00000276910	372	14
ENSG00000276910	71	14
ENSG00000274780	4485	6
ENSG00000274780	4950	6
