GeneSymbol	CDS_length
ENSG00000023697	957
ENSG00000023734	1092
ENSG00000023839	4638
ENSG00000023892	1896
ENSG00000023902	1230
ENSG00000023909	825
ENSG00000024048	5268
ENSG00000024422	1632
ENSG00000024526	2436
ENSG00000024862	555
ENSG00000025039	1203
ENSG00000025156	1611
ENSG00000025293	3039
ENSG00000025423	954
ENSG00000025434	1401
ENSG00000025708	1464
ENSG00000025770	1821
ENSG00000025772	930
ENSG00000025796	2283
ENSG00000025800	1611
ENSG00000026025	1401
ENSG00000026036	2358
ENSG00000026103	1089
ENSG00000026297	771
ENSG00000026508	2229
ENSG00000026559	1542
ENSG00000026652	1137
ENSG00000026751	1008
ENSG00000026950	1542
ENSG00000027001	2142
ENSG00000027075	2052
ENSG00000027644	3894
ENSG00000027697	1470
ENSG00000027847	984
ENSG00000027869	1200
ENSG00000028116	1527
ENSG00000028137	1386
ENSG00000028203	2340
ENSG00000028277	1875
ENSG00000028310	1794
ENSG00000028528	1674
ENSG00000028839	561
ENSG00000029153	1911
ENSG00000029363	2763
ENSG00000029364	924
ENSG00000029534	5694
ENSG00000029559	954
ENSG00000029639	1041
ENSG00000029725	2589
ENSG00000030066	4311
ENSG00000030110	636
ENSG00000030304	2610
ENSG00000030419	1599
ENSG00000030582	1782
ENSG00000031003	2814
ENSG00000031081	4335
ENSG00000031691	807
ENSG00000031698	1611
ENSG00000031823	1704
ENSG00000032219	3774
ENSG00000032389	1245
ENSG00000032444	4128
ENSG00000032742	2502
ENSG00000033011	1395
ENSG00000033030	2124
ENSG00000033050	1872
ENSG00000033100	2319
ENSG00000033122	4728
ENSG00000033170	1728
ENSG00000033178	3159
ENSG00000033327	2031
ENSG00000033627	2517
ENSG00000033800	1962
ENSG00000033867	3780
ENSG00000034053	2250
ENSG00000034152	1044
ENSG00000034239	636
ENSG00000034510	135
ENSG00000034533	2115
ENSG00000034677	2517
ENSG00000034693	1122
ENSG00000034713	354
ENSG00000034971	1515
ENSG00000035115	1029
ENSG00000035141	738
ENSG00000035403	3405
ENSG00000035499	1590
ENSG00000035664	1467
ENSG00000035681	2847
ENSG00000035687	1371
ENSG00000035720	888
ENSG00000035862	663
ENSG00000035928	3447
ENSG00000036054	2100
ENSG00000036257	2307
ENSG00000036448	4398
ENSG00000036530	1503
ENSG00000036549	2712
ENSG00000036565	1578
ENSG00000036672	1818
ENSG00000036828	3267
ENSG00000037042	1356
ENSG00000037241	438
ENSG00000037280	4092
ENSG00000037474	2304
ENSG00000037637	2154
ENSG00000037749	1089
ENSG00000037757	1110
ENSG00000037897	831
ENSG00000037965	729
ENSG00000038002	1041
ENSG00000038210	1446
ENSG00000038219	9156
ENSG00000038274	1005
ENSG00000038295	3111
ENSG00000038358	4206
ENSG00000038382	9294
ENSG00000038427	10191
ENSG00000038532	3162
ENSG00000038945	1410
ENSG00000039068	2649
ENSG00000039123	3129
ENSG00000039139	13875
ENSG00000039319	4620
ENSG00000039523	3720
ENSG00000039537	2805
ENSG00000039560	2952
ENSG00000039600	2262
ENSG00000039650	1566
ENSG00000039987	1530
ENSG00000040199	4077
ENSG00000040275	1818
ENSG00000040341	1713
ENSG00000040487	876
ENSG00000040531	1203
ENSG00000040608	1679
ENSG00000040633	1212
ENSG00000040731	2367
ENSG00000040933	2934
ENSG00000041353	657
ENSG00000041357	786
ENSG00000041515	5643
ENSG00000041802	1977
ENSG00000041880	1602
ENSG00000041982	6606
ENSG00000041988	720
ENSG00000042062	2853
ENSG00000042088	1827
ENSG00000042286	1122
ENSG00000042317	1800
ENSG00000042429	1959
ENSG00000042445	1833
ENSG00000042493	1047
ENSG00000042753	477
ENSG00000042781	15681
ENSG00000042813	1056
ENSG00000042832	8307
ENSG00000042980	2328
ENSG00000043039	840
ENSG00000043093	780
ENSG00000043143	2505
ENSG00000043355	1599
ENSG00000043462	1602
ENSG00000043514	1404
ENSG00000043591	1434
ENSG00000044012	339
ENSG00000044090	5193
ENSG00000044115	2721
ENSG00000044459	4221
ENSG00000044524	2952
ENSG00000044574	1965
ENSG00000046604	3357
ENSG00000046889	4821
ENSG00000047056	1731
ENSG00000047188	4293
ENSG00000047249	1452
ENSG00000047315	3525
ENSG00000047346	3252
ENSG00000047365	5115
ENSG00000047410	7092
ENSG00000047457	3198
ENSG00000047578	4857
ENSG00000047579	1056
ENSG00000047617	3012
ENSG00000047621	1659
ENSG00000047662	3183
ENSG00000047849	6894
ENSG00000047932	1389
ENSG00000047936	7044
ENSG00000048028	3234
ENSG00000048052	3210
ENSG00000048140	999
ENSG00000048162	699
ENSG00000048342	4899
ENSG00000048392	1225
ENSG00000048405	1995
ENSG00000048462	555
ENSG00000048471	2442
ENSG00000048540	504
ENSG00000048544	606
ENSG00000048545	606
ENSG00000048649	4326
ENSG00000048707	13167
ENSG00000048740	1602
ENSG00000048828	3357
ENSG00000048991	3405
ENSG00000049089	2070
ENSG00000049130	822
ENSG00000049167	1248
ENSG00000049192	3354
ENSG00000049239	2409
ENSG00000049245	303
ENSG00000049246	3633
ENSG00000049247	420
ENSG00000049249	768
ENSG00000049283	1899
ENSG00000049323	5166
ENSG00000049449	996
ENSG00000049540	2361
ENSG00000049541	1065
ENSG00000049618	7119
ENSG00000049656	1617
ENSG00000049759	3765
ENSG00000049860	1671
ENSG00000049883	1167
ENSG00000050130	978
ENSG00000050165	1095
ENSG00000050327	4794
ENSG00000050344	2085
ENSG00000050393	1080
ENSG00000050405	2283
ENSG00000050426	1122
ENSG00000050438	3282
ENSG00000050555	4728
ENSG00000050628	1278
ENSG00000050730	1131
ENSG00000050748	1275
ENSG00000050767	1623
ENSG00000050820	2751
ENSG00000051009	2961
ENSG00000051108	1176
ENSG00000051128	1086
ENSG00000051180	1023
ENSG00000051341	7773
ENSG00000051382	3213
ENSG00000051523	633
ENSG00000051596	1056
ENSG00000051620	618
ENSG00000051825	3552
ENSG00000052126	3849
ENSG00000052344	1032
ENSG00000052723	636
ENSG00000052749	3894
ENSG00000052795	3345
ENSG00000052802	882
ENSG00000052841	3426
ENSG00000052850	1236
ENSG00000053108	2529
ENSG00000053254	1473
ENSG00000053328	1101
ENSG00000053371	1080
ENSG00000053372	720
ENSG00000053438	378
ENSG00000053501	780
ENSG00000053524	3345
ENSG00000053702	846
ENSG00000053747	10002
ENSG00000053770	1515
ENSG00000053900	2430
ENSG00000053918	2031
ENSG00000054116	567
ENSG00000054118	2868
ENSG00000054148	378
ENSG00000054179	1488
ENSG00000054219	5169
ENSG00000054267	3939
ENSG00000054277	1209
ENSG00000054282	2142
ENSG00000054356	2940
ENSG00000054392	1485
ENSG00000054523	5472
ENSG00000054598	1662
ENSG00000054611	1554
ENSG00000054654	20724
ENSG00000054690	4095
ENSG00000054793	3144
ENSG00000054796	1191
ENSG00000054803	606
ENSG00000054938	1356
ENSG00000054965	735
ENSG00000054967	1293
ENSG00000054983	2058
ENSG00000055044	1590
ENSG00000055070	459
ENSG00000055118	3480
ENSG00000055130	2331
ENSG00000055147	1518
ENSG00000055163	3837
ENSG00000055208	2082
ENSG00000055211	993
ENSG00000055332	1656
ENSG00000055483	3372
ENSG00000055609	14907
ENSG00000055732	1662
ENSG00000055813	1662
ENSG00000055917	3195
ENSG00000055950	786
ENSG00000055955	2808
ENSG00000055957	2736
ENSG00000056050	1041
ENSG00000056097	3225
ENSG00000056291	1272
ENSG00000056487	1596
ENSG00000056558	1251
ENSG00000056586	3576
ENSG00000056736	1509
ENSG00000056972	1725
ENSG00000057019	2370
ENSG00000057149	1173
ENSG00000057252	1653
ENSG00000057294	2646
ENSG00000057468	2811
ENSG00000057593	1401
ENSG00000057608	1338
ENSG00000057657	2520
ENSG00000057663	828
ENSG00000057704	1434
ENSG00000057757	636
ENSG00000057935	1785
ENSG00000058056	2592
ENSG00000058063	3534
ENSG00000058085	3582
ENSG00000058091	1410
ENSG00000058262	1449
ENSG00000058272	3093
ENSG00000058335	3822
ENSG00000058404	2001
ENSG00000058453	6054
ENSG00000058600	2127
ENSG00000058668	3618
ENSG00000058673	2433
ENSG00000058729	1659
ENSG00000058799	921
ENSG00000058804	2025
ENSG00000058866	2376
ENSG00000059122	2151
ENSG00000059145	2202
ENSG00000059377	1743
ENSG00000059378	2106
ENSG00000059573	2388
ENSG00000059588	4866
ENSG00000059691	1674
ENSG00000059728	666
ENSG00000059758	1572
ENSG00000059769	1083
ENSG00000059804	1491
ENSG00000059915	3075
ENSG00000060069	2886
ENSG00000060138	1119
ENSG00000060140	1269
ENSG00000060237	8502
ENSG00000060339	3453
ENSG00000060491	2034
ENSG00000060558	1125
ENSG00000060566	1386
ENSG00000060642	1521
ENSG00000060656	4341
ENSG00000060688	1074
ENSG00000060709	4089
ENSG00000060718	5457
ENSG00000060749	5595
ENSG00000060762	330
ENSG00000060971	1275
ENSG00000060982	1197
ENSG00000061273	3045
ENSG00000061337	1791
ENSG00000061455	1788
ENSG00000061492	1110
ENSG00000061656	1314
ENSG00000061676	3405
ENSG00000061794	972
ENSG00000061918	1956
ENSG00000061936	3012
ENSG00000061938	3261
ENSG00000061987	5157
ENSG00000062038	2490
ENSG00000062194	1482
ENSG00000062282	1167
ENSG00000062370	2742
ENSG00000062485	1401
ENSG00000062524	2595
ENSG00000062582	504
ENSG00000062598	2163
ENSG00000062650	3573
ENSG00000062716	1221
ENSG00000062725	1758
ENSG00000062822	3402
ENSG00000063015	2985
ENSG00000063046	1851
ENSG00000063127	2211
ENSG00000063169	4683
ENSG00000063176	1992
ENSG00000063177	571
ENSG00000063180	987
ENSG00000063241	666
ENSG00000063244	1428
ENSG00000063245	1989
ENSG00000063322	666
ENSG00000063438	2094
ENSG00000063515	618
ENSG00000063660	1677
ENSG00000063761	1572
ENSG00000063854	927
ENSG00000063978	573
ENSG00000064012	1617
ENSG00000064042	4404
ENSG00000064102	2121
ENSG00000064115	1713
ENSG00000064195	864
ENSG00000064199	456
ENSG00000064201	963
ENSG00000064205	753
ENSG00000064218	1419
ENSG00000064225	996
ENSG00000064270	2928
ENSG00000064300	1284
ENSG00000064309	3864
ENSG00000064313	3756
ENSG00000064393	3597
ENSG00000064419	2874
ENSG00000064489	1149
ENSG00000064490	783
ENSG00000064545	1440
ENSG00000064547	1056
ENSG00000064601	1497
ENSG00000064607	3291
ENSG00000064651	3639
ENSG00000064652	609
ENSG00000064655	1617
ENSG00000064666	993
ENSG00000064687	6441
ENSG00000064692	3051
ENSG00000064703	2475
ENSG00000064726	1449
ENSG00000064763	1548
ENSG00000064787	1890
ENSG00000064835	954
ENSG00000064886	1173
ENSG00000064932	4101
ENSG00000064933	2799
ENSG00000064961	954
ENSG00000064989	1386
ENSG00000064995	636
ENSG00000064999	3585
ENSG00000065000	3648
ENSG00000065029	1713
ENSG00000065054	1014
ENSG00000065057	939
ENSG00000065060	4323
ENSG00000065135	1065
ENSG00000065150	3348
ENSG00000065154	1320
ENSG00000065183	2832
ENSG00000065243	2955
ENSG00000065268	1299
ENSG00000065308	1113
ENSG00000065320	1815
ENSG00000065325	1662
ENSG00000065328	2628
ENSG00000065357	2208
ENSG00000065361	4029
ENSG00000065371	639
ENSG00000065413	3171
ENSG00000065427	1878
ENSG00000065457	1509
ENSG00000065485	1560
ENSG00000065491	1518
ENSG00000065518	390
ENSG00000065526	10995
ENSG00000065534	5775
ENSG00000065548	1281
ENSG00000065559	1233
ENSG00000065600	1236
ENSG00000065609	2724
ENSG00000065613	3708
ENSG00000065615	1566
ENSG00000065618	4494
ENSG00000065621	732
ENSG00000065665	1431
ENSG00000065675	2121
ENSG00000065717	2235
ENSG00000065802	1008
ENSG00000065809	921
ENSG00000065833	1719
ENSG00000065882	3507
ENSG00000065883	4539
ENSG00000065911	1053
ENSG00000065970	1725
ENSG00000065978	1124
ENSG00000065989	2661
ENSG00000066027	1461
ENSG00000066032	2862
ENSG00000066044	981
ENSG00000066056	3417
ENSG00000066084	4731
ENSG00000066117	1548
ENSG00000066135	3195
ENSG00000066136	1377
ENSG00000066185	1098
ENSG00000066230	2670
ENSG00000066248	2133
ENSG00000066279	10656
ENSG00000066294	1038
ENSG00000066322	840
ENSG00000066336	816
ENSG00000066379	381
ENSG00000066382	885
ENSG00000066405	786
ENSG00000066422	3162
ENSG00000066427	1113
ENSG00000066455	2196
ENSG00000066468	2469
ENSG00000066557	1809
ENSG00000066583	897
ENSG00000066629	2523
ENSG00000066651	1392
ENSG00000066654	1062
ENSG00000066697	828
ENSG00000066735	5649
ENSG00000066739	6237
ENSG00000066777	5550
ENSG00000066813	1734
ENSG00000066827	3732
ENSG00000066855	1002
ENSG00000066923	3681
ENSG00000066926	1290
ENSG00000066933	7647
ENSG00000067057	2355
ENSG00000067064	855
ENSG00000067066	2658
ENSG00000067082	852
ENSG00000067113	858
ENSG00000067141	4386
ENSG00000067167	1125
ENSG00000067182	1368
ENSG00000067191	1797
ENSG00000067208	2481
ENSG00000067221	1197
ENSG00000067225	1818
ENSG00000067248	4110
ENSG00000067334	2271
ENSG00000067365	1215
ENSG00000067369	5934
ENSG00000067533	849
ENSG00000067560	582
ENSG00000067596	3663
ENSG00000067606	1779
ENSG00000067704	3039
ENSG00000067715	1269
ENSG00000067798	7158
ENSG00000067836	864
ENSG00000067900	4065
ENSG00000067955	672
ENSG00000068001	1422
ENSG00000068024	3270
ENSG00000068028	1035
ENSG00000068078	2427
ENSG00000068079	867
ENSG00000068097	3546
ENSG00000068120	1782
ENSG00000068137	2382
ENSG00000068305	1536
ENSG00000068383	1239
ENSG00000068489	1083
ENSG00000068615	963
ENSG00000068650	3576
ENSG00000068654	5163
ENSG00000068697	702
ENSG00000068724	2649
ENSG00000068745	1281
ENSG00000068781	3549
ENSG00000068784	2988
ENSG00000068796	2235
ENSG00000068831	1833
ENSG00000068878	5532
ENSG00000068885	2334
ENSG00000068903	1170
ENSG00000068912	1452
ENSG00000068971	1494
ENSG00000068976	2529
ENSG00000069011	945
ENSG00000069018	2589
ENSG00000069020	7872
ENSG00000069122	4041
ENSG00000069188	6519
ENSG00000069206	2331
ENSG00000069248	3471
ENSG00000069275	732
ENSG00000069329	2391
ENSG00000069345	1239
ENSG00000069399	1365
ENSG00000069424	1248
ENSG00000069431	4650
ENSG00000069482	372
ENSG00000069493	585
ENSG00000069667	1671
ENSG00000069696	1260
ENSG00000069702	2556
ENSG00000069764	498
ENSG00000069812	522
ENSG00000069849	840
ENSG00000069869	3960
ENSG00000069943	1668
ENSG00000069956	2166
ENSG00000069966	1188
ENSG00000069974	666
ENSG00000069998	1272
ENSG00000070010	924
ENSG00000070018	4842
ENSG00000070019	3222
ENSG00000070031	366
ENSG00000070047	4950
ENSG00000070061	4041
ENSG00000070081	1263
ENSG00000070087	567
ENSG00000070159	2742
ENSG00000070182	6987
ENSG00000070190	843
ENSG00000070193	627
ENSG00000070214	1974
ENSG00000070269	2124
ENSG00000070366	4260
ENSG00000070367	2136
ENSG00000070371	4923
ENSG00000070388	513
ENSG00000070404	792
ENSG00000070413	1653
ENSG00000070423	936
ENSG00000070444	1749
ENSG00000070476	2577
ENSG00000070495	1245
ENSG00000070501	1008
ENSG00000070526	1803
ENSG00000070540	1341
ENSG00000070601	4737
ENSG00000070610	2784
ENSG00000070614	2649
ENSG00000070669	1686
ENSG00000070718	1257
ENSG00000070729	3756
ENSG00000070731	1125
ENSG00000070748	2247
ENSG00000070756	1911
ENSG00000070759	1716
ENSG00000070761	582
ENSG00000070770	1053
ENSG00000070778	3525
ENSG00000070785	1359
ENSG00000070808	1680
ENSG00000070814	4470
ENSG00000070831	576
ENSG00000070882	2664
ENSG00000070886	3018
ENSG00000070915	3093
ENSG00000070950	1488
ENSG00000070961	3663
ENSG00000070985	3522
ENSG00000071051	1143
ENSG00000071054	4155
ENSG00000071073	1608
ENSG00000071082	393
ENSG00000071127	1821
ENSG00000071189	2874
ENSG00000071203	804
ENSG00000071205	2361
ENSG00000071242	2277
ENSG00000071243	1257
ENSG00000071246	1098
ENSG00000071282	1098
ENSG00000071462	897
ENSG00000071537	2385
ENSG00000071539	1299
ENSG00000071564	2040
ENSG00000071575	1032
ENSG00000071626	1224
ENSG00000071655	876
ENSG00000071677	264
ENSG00000071794	3030
ENSG00000071894	4332
ENSG00000071909	4026
ENSG00000071967	861
ENSG00000071991	2319
ENSG00000071994	1035
ENSG00000072041	2193
ENSG00000072042	957
ENSG00000072062	1056
ENSG00000072071	4425
ENSG00000072080	636
ENSG00000072110	2793
ENSG00000072121	7665
ENSG00000072134	1926
ENSG00000072135	1383
ENSG00000072163	1098
ENSG00000072182	2001
ENSG00000072195	9804
ENSG00000072201	2187
ENSG00000072210	1566
ENSG00000072274	2283
ENSG00000072310	3534
ENSG00000072364	3492
ENSG00000072401	444
ENSG00000072415	2028
ENSG00000072422	2091
ENSG00000072518	2367
ENSG00000072571	2178
ENSG00000072609	1995
ENSG00000072657	3210
ENSG00000072682	1608
ENSG00000072694	933
ENSG00000072736	3228
ENSG00000072756	1305
ENSG00000072778	2037
ENSG00000072786	2907
ENSG00000072803	1692
ENSG00000072818	2223
ENSG00000072832	2061
ENSG00000072840	2979
ENSG00000072849	720
ENSG00000072858	2499
ENSG00000072864	1155
ENSG00000072952	2739
ENSG00000072954	900
ENSG00000072958	1308
ENSG00000073008	1254
ENSG00000073050	1902
ENSG00000073060	1659
ENSG00000073067	1473
ENSG00000073111	2715
ENSG00000073146	3636
ENSG00000073150	2034
ENSG00000073169	2010
ENSG00000073282	2043
ENSG00000073331	3735
ENSG00000073350	3063
ENSG00000073417	2490
ENSG00000073536	1458
ENSG00000073578	1995
ENSG00000073584	1236
ENSG00000073598	975
ENSG00000073605	1251
ENSG00000073614	5073
ENSG00000073670	2310
ENSG00000073711	3453
ENSG00000073712	2064
ENSG00000073734	3966
ENSG00000073737	1140
ENSG00000073754	1044
ENSG00000073756	1815
ENSG00000073792	1818
ENSG00000073803	2901
ENSG00000073849	1221
ENSG00000073861	1608
ENSG00000073910	9177
ENSG00000073921	1959
ENSG00000073969	2235
ENSG00000074047	4761
ENSG00000074054	4617
ENSG00000074071	678
ENSG00000074181	6966
ENSG00000074201	714
ENSG00000074211	1344
ENSG00000074219	1356
ENSG00000074266	1506
ENSG00000074276	3933
ENSG00000074317	405
ENSG00000074319	1173
ENSG00000074356	1863
ENSG00000074370	3159
ENSG00000074410	1065
ENSG00000074416	942
ENSG00000074527	1887
ENSG00000074582	1260
ENSG00000074590	1986
ENSG00000074603	2697
