id	Domain	ChapterLevel	uniqTrait	no_rep_phenos	no_rep_disease	no_rep_disease_disorder	indep_phenos	indep_disease	indep_disease_disorder	cat
3878	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Granulocyte percentage of myeloid white cells	1	0	0	1	0	0	Immunological
3880	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Hemoglobin concentration	1	0	0	1	0	0	Immunological
3881	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	High light scatter percentage of red cells	1	0	0	1	0	0	Immunological
3884	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Lymphocyte count	1	0	0	1	0	0	Immunological
3886	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Mean corpuscular hemoglobin concentration	1	0	0	1	0	0	Immunological
3888	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Mean corpuscular volume	1	0	0	1	0	0	Immunological
3889	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Monocyte count	1	0	0	1	0	0	Immunological
3891	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Mean platelet volume	1	0	0	1	0	0	Immunological
3898	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Platelet distribution width	0	0	0	1	0	0	Immunological
3899	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Platelet count	1	0	0	1	0	0	Immunological
3901	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Red cell distribution width	1	0	0	1	0	0	Immunological
120	Metabolic	Endocrine, Nutritional and Metabolic Diseases	Obesity	1	1	1	0	1	1	Disease
195	Metabolic	Diseases of the Genitourinary System	Chronic kidney disease	0	0	0	0	1	1	Disease
1203	Connective Tissue	Diseases of the Musculoskeletal System and Connective Tissue	Rheumatoid Arthritis	1	1	1	1	1	1	Disease
2031	Gastrointestinal	Diseases of the Digestive System	Inflammatory Bowel Disease	1	1	1	1	1	1	Disease
3311	Ophthalmological	Diseases of the Eye and Adnexa	Other eye problems	1	1	1	1	1	1	Disease
3324	Reproduction	Endocrine, Nutritional and Metabolic Diseases	Relative age of first facial hair	1	1	1	0	1	1	Disease
3553	Respiratory	Disease of the Respiratory System	Hayfever, allergic rhinitis or eczema	1	1	1	1	1	1	Disease
3597	Cardiovascular	Diseases of the Circulatory System	Hypertension	1	1	1	0	1	1	Disease
3602	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Hypothyroidism/Myxoedema	1	1	1	1	1	1	Disease
3603	Neurological	Diseases of the Nervous System	Migraine	1	1	1	0	1	1	Disease
3607	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Osteoarthritis	0	0	0	1	1	1	Disease
3667	Ophthalmological	Diseases of the Eye and Adnexa	Other cataract	1	1	1	1	1	1	Disease
3668	Cardiovascular	Diseases of the Circulatory System	Chronic ischemic heart disease	1	1	1	1	1	1	Disease
3671	Gastrointestinal	Diseases of the Digestive System	Inguinal hernia	1	1	1	1	1	1	Disease
3673	Gastrointestinal	Diseases of the Digestive System	Diverticular disease of intestine	1	1	1	1	1	1	Disease
3675	Gastrointestinal	Diseases of the Digestive System	Cholelithiasis	1	1	1	1	1	1	Disease
3678	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Internal derangement of knee	1	1	1	1	1	1	Disease
3694	Cardiovascular	Diseases of the Circulatory System	Atrial fibrillation and flutter	1	1	1	1	1	1	Disease
3698	Gastrointestinal	Diseases of the Digestive System	Diaphragmatic hernia	1	1	1	1	1	1	Disease
3711	Mortality	Persons with Potential Health Hazards Related to Family and Personal History and Certain Conditions Influencing Health Status	Personal history of certain other diseases	1	1	1	0	1	0	Disease
3786	Neurological	Diseases of the Nervous System	Insomnia	0	0	0	1	1	1	Disease
4010	Neurological	Diseases of the Nervous System	Amyotrophic lateral sclerosis	0	0	0	1	1	1	Disease
4085	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 2 Diabetes	1	1	1	0	1	1	Disease
4094	Neurological	Diseases of the Nervous System	Alzheimer disease	1	1	1	1	1	1	Disease
2	Psychiatric	Mental and Behavioural Disorders	Attention deficit hyperactivity disorder	1	0	1	1	0	1	Disease, Disorder
120	Metabolic	Endocrine, Nutritional and Metabolic Diseases	Obesity	1	1	1	0	1	1	Disease, Disorder
195	Metabolic	Diseases of the Genitourinary System	Chronic kidney disease	0	0	0	0	1	1	Disease, Disorder
1203	Connective Tissue	Diseases of the Musculoskeletal System and Connective Tissue	Rheumatoid Arthritis	1	1	1	1	1	1	Disease, Disorder
2031	Gastrointestinal	Diseases of the Digestive System	Inflammatory Bowel Disease	1	1	1	1	1	1	Disease, Disorder
3261	Psychiatric	Mental and Behavioural Disorders	Alcohol intake frequency	1	0	1	1	0	1	Disease, Disorder
3264	Psychiatric	Mental and Behavioural Disorders	Beer/cider intake	1	0	1	1	0	1	Disease, Disorder
3311	Ophthalmological	Diseases of the Eye and Adnexa	Other eye problems	1	1	1	1	1	1	Disease, Disorder
3324	Reproduction	Endocrine, Nutritional and Metabolic Diseases	Relative age of first facial hair	1	1	1	0	1	1	Disease, Disorder
3353	Psychiatric	Mental and Behavioural Disorders	Cigarettes per day	0	0	0	1	0	1	Disease, Disorder
3354	Psychiatric	Mental and Behavioural Disorders	Age stopped smoking	1	0	1	1	0	1	Disease, Disorder
3355	Psychiatric	Mental and Behavioural Disorders	Ever stopped smoking for 6+ months	1	0	1	1	0	1	Disease, Disorder
3356	Psychiatric	Mental and Behavioural Disorders	Number of unsuccessful stop-smoking attempts	1	0	1	1	0	1	Disease, Disorder
3391	Psychiatric	Mental and Behavioural Disorders	Ever depressed for a whole week	1	0	1	1	0	1	Disease, Disorder
3510	Psychiatric	Mental and Behavioural Disorders	Reason for reducing amount of alcohol drunk: Health precaution	1	0	1	1	0	1	Disease, Disorder
3553	Respiratory	Disease of the Respiratory System	Hayfever, allergic rhinitis or eczema	1	1	1	1	1	1	Disease, Disorder
3597	Cardiovascular	Diseases of the Circulatory System	Hypertension	1	1	1	0	1	1	Disease, Disorder
3602	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Hypothyroidism/Myxoedema	1	1	1	1	1	1	Disease, Disorder
3603	Neurological	Diseases of the Nervous System	Migraine	1	1	1	0	1	1	Disease, Disorder
3607	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Osteoarthritis	0	0	0	1	1	1	Disease, Disorder
3657	Psychiatric	Mental and Behavioural Disorders	Former vs current drinkers	1	0	1	1	0	1	Disease, Disorder
3667	Ophthalmological	Diseases of the Eye and Adnexa	Other cataract	1	1	1	1	1	1	Disease, Disorder
3668	Cardiovascular	Diseases of the Circulatory System	Chronic ischemic heart disease	1	1	1	1	1	1	Disease, Disorder
3671	Gastrointestinal	Diseases of the Digestive System	Inguinal hernia	1	1	1	1	1	1	Disease, Disorder
3673	Gastrointestinal	Diseases of the Digestive System	Diverticular disease of intestine	1	1	1	1	1	1	Disease, Disorder
3675	Gastrointestinal	Diseases of the Digestive System	Cholelithiasis	1	1	1	1	1	1	Disease, Disorder
3678	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Internal derangement of knee	1	1	1	1	1	1	Disease, Disorder
3694	Cardiovascular	Diseases of the Circulatory System	Atrial fibrillation and flutter	1	1	1	1	1	1	Disease, Disorder
3698	Gastrointestinal	Diseases of the Digestive System	Diaphragmatic hernia	1	1	1	1	1	1	Disease, Disorder
3719	Psychiatric	Mental and Behavioural Disorders	Ever had known person concerned about, or recommended reduction of alcohol consumption	1	0	1	1	0	1	Disease, Disorder
3744	Psychiatric	Mental and Behavioural Disorders	Ever taken cannabis	1	0	1	1	0	1	Disease, Disorder
3772	Psychiatric	Mental and Behavioural Disorders	Recent feelings of tiredness or low enery	1	0	1	0	0	1	Disease, Disorder
3786	Neurological	Diseases of the Nervous System	Insomnia	0	0	0	1	1	1	Disease, Disorder
3982	Psychiatric	Mental and Behavioural Disorders	Schizophrenia	1	0	1	1	0	1	Disease, Disorder
4010	Neurological	Diseases of the Nervous System	Amyotrophic lateral sclerosis	0	0	0	1	1	1	Disease, Disorder
4011	Psychiatric	Mental and Behavioural Disorders	Depression	0	0	0	1	0	1	Disease, Disorder
4012	Psychiatric	Mental and Behavioural Disorders	Probable major depressive disorder	1	0	1	1	0	1	Disease, Disorder
4069	Psychiatric	Mental and Behavioural Disorders	Alcohol intake	0	0	0	1	0	1	Disease, Disorder
4070	Psychiatric	Mental and Behavioural Disorders	Ever vs never smokers	1	0	1	1	0	1	Disease, Disorder
4085	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 2 Diabetes	1	1	1	0	1	1	Disease, Disorder
4094	Neurological	Diseases of the Nervous System	Alzheimer disease	1	1	1	1	1	1	Disease, Disorder
