id	Domain	ChapterLevel	uniqTrait	no_rep_phenos	no_rep_disease	no_rep_disease_disorder	indep_phenos	indep_disease	indep_disease_disorder
33	Psychiatric	Mental Functions	Extraversion	0	0	0	0	0	0
34	Neurological	Diseases of the Nervous System	Alzheimer disease	0	0	0	0	0	0
35	Psychiatric	Mental Functions	Loneliness	0	0	0	0	0	0
36	Psychiatric	Mental Functions	Loneliness	0	0	0	0	0	0
37	Psychiatric	Mental Functions	Loneliness	0	0	0	0	0	0
38	Cognitive	Mental Functions	Verbal-numerical reasoning	0	0	0	0	0	0
39	Cognitive	Mental Functions	Memory	1	0	0	0	0	0
40	Cognitive	Mental Functions	Reaction time	0	0	0	0	0	0
41	Environment	Major Life Areas	Educational attainment	0	0	0	0	0	0
42	Activities	Self-Care	Health rating	0	0	0	0	0	0
43	Environment	Major Life Areas	Social deprivation	1	0	0	0	0	0
44	Environment	Products and Technology	Household income	0	0	0	0	0	0
45	Psychiatric	Mental Functions	Tiredness	1	0	0	0	0	0
46	Dermatological	Functions of the Skin and Related Structures	Baldness	0	0	0	0	0	0
47	Reproduction	Genitourinary and Reproductive Functions	Age at first birth	0	0	0	0	0	0
48	Reproduction	Genitourinary and Reproductive Functions	Age at first birth	0	0	0	0	0	0
49	Reproduction	Genitourinary and Reproductive Functions	Age at first birth	0	0	0	0	0	0
50	Reproduction	Genitourinary and Reproductive Functions	Number of children ever born	0	0	0	0	0	0
51	Reproduction	Genitourinary and Reproductive Functions	Number of children ever born	0	0	0	0	0	0
52	Reproduction	Genitourinary and Reproductive Functions	Number of children ever born	0	0	0	0	0	0
53	Environment	Major Life Areas	Educational attainment	0	0	0	0	0	0
54	Psychiatric	Mental Functions	Subjective well being	1	0	0	0	0	0
55	Psychiatric	Mental Functions	Neuroticism	0	0	0	0	0	0
56	Psychiatric	Mental and Behavioural Disorders	Depressive symptoms	0	0	0	0	0	0
57	Environment	Major Life Areas	Educational attainment	0	0	0	0	0	0
58	Environment	Major Life Areas	College completion	1	0	0	0	0	0
59	Cognitive	Mental Functions	Childhood IQ	1	0	0	0	0	0
60	Environment	Major Life Areas	Educational attainment	0	0	0	0	0	0
61	Reproduction	Genitourinary and Reproductive Functions	Age at menarche	0	0	0	0	0	0
62	Reproduction	Genitourinary and Reproductive Functions	Age at menopause	0	0	0	0	0	0
63	Reproduction	Genitourinary and Reproductive Functions	Age at menarche	1	0	0	1	0	0
64	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Insulin sensitivity index	0	0	0	0	0	0
65	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Insulin sensitivity index	0	0	0	0	0	0
66	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Insulin sensitivity index	1	1	1	0	0	0
67	Gastrointestinal	Diseases of the Digestive System	Inflammatory Bowel Disease	0	0	0	0	0	0
68	Gastrointestinal	Diseases of the Digestive System	Crohn's Disease	0	0	0	0	0	0
69	Gastrointestinal	Diseases of the Digestive System	Ulcerative colitis	0	0	0	0	0	0
70	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Low-density lipoprotein cholesterol	1	0	0	0	0	0
71	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	High-density lipoprotein cholesterol	1	0	0	1	0	0
72	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides	1	0	0	1	0	0
73	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol	1	0	0	1	0	0
77	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Adiponectin	1	0	0	0	0	0
84	Skeletal	Structures Related to Movement	Forearm bone mineral density	1	0	0	0	0	0
85	Skeletal	Structures Related to Movement	Femoral Neck bone mineral density	1	0	0	0	0	0
86	Skeletal	Structures Related to Movement	Lumbar Spine bone mineral density	1	0	0	0	0	0
87	Respiratory	Diseases of the Respiratory System	Asthma	0	0	0	0	0	0
88	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 2 Diabetes	0	0	0	0	0	0
89	Skeletal	Structures Related to Movement	Infant head circumference	1	0	0	0	0	0
90	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
91	Metabolic	Endocrine, Nutritional and Metabolic Diseases	Childhood obesity	1	1	1	0	0	0
92	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Birth weight	0	0	0	0	0	0
93	Skeletal	Structures Related to Movement	Birth length	1	0	0	0	0	0
94	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Birth weight	0	0	0	0	0	0
96	Skeletal	Structures Related to Movement	Height SDS	0	0	0	0	0	0
97	Skeletal	Structures Related to Movement	Height SDS	0	0	0	0	0	0
98	Skeletal	Structures Related to Movement	Height SDS	1	0	0	0	0	0
99	Skeletal	Structures Related to Movement	Pubertal growth	1	0	0	0	0	0
100	Skeletal	Structures Related to Movement	Pubertal growth	0	0	0	0	0	0
101	Skeletal	Structures Related to Movement	Pubertal growth	0	0	0	0	0	0
102	Skeletal	Structures Related to Movement	Late pubertal growth	0	0	0	0	0	0
103	Skeletal	Structures Related to Movement	Late pubertal growth	0	0	0	0	0	0
104	Skeletal	Structures Related to Movement	Late pubertal growth	1	0	0	0	0	0
105	Reproduction	Genitourinary and Reproductive Functions	Tanner scale	0	0	0	0	0	0
106	Reproduction	Genitourinary and Reproductive Functions	Tanner scale	0	0	0	0	0	0
107	Reproduction	Genitourinary and Reproductive Functions	Tanner scale	1	0	0	0	0	0
109	Cardiovascular	Diseases of the Circulatory System	Coronary artery disease	0	0	0	0	0	0
112	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
113	Skeletal	Structures Related to Movement	Height	0	0	0	0	0	0
114	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
115	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Variability of Body Mass Index	1	0	0	0	0	0
116	Skeletal	Structures Related to Movement	Variability of Height	1	0	0	0	0	0
117	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Extreme Body Mass Index	1	0	0	0	0	0
118	Skeletal	Structures Related to Movement	Extreme Height	1	0	0	0	0	0
119	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Extreme Waist-hip ratio	1	0	0	0	0	0
120	Metabolic	Endocrine, Nutritional and Metabolic Diseases	Obesity	1	1	1	0	1	1
121	Metabolic	Endocrine, Nutritional and Metabolic Diseases	Obesity class 2	1	1	1	0	0	0
122	Metabolic	Endocrine, Nutritional and Metabolic Diseases	Obesity class 3	1	1	1	0	0	0
123	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Overweight	1	0	0	0	0	0
124	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
125	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
126	Skeletal	Structures Related to Movement	Height	0	0	0	0	0	0
127	Skeletal	Structures Related to Movement	Height	0	0	0	0	0	0
128	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
129	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
130	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
131	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
132	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
133	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
134	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
135	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
136	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight	0	0	0	0	0	0
137	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight	0	0	0	0	0	0
138	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
139	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
140	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
141	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
142	Skeletal	Structures Related to Movement	Height	0	0	0	0	0	0
143	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
144	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
145	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
147	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
148	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
149	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
150	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
151	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
152	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
153	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
154	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
155	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
157	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
159	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
161	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
163	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
165	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
167	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
169	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
171	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
173	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
175	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
177	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist circumference	0	0	0	0	0	0
179	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
181	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
183	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
185	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
187	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
189	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Waist-hip ratio	0	0	0	0	0	0
191	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Estimated glomerular filtration rate based on serum creatinine	0	0	0	0	0	0
192	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Estimated glomerular filtration rate based on serum creatinine	0	0	0	0	0	0
193	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Estimated glomerular filtration rate based on serum creatinine	0	0	0	1	0	0
194	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Estimated glomerular filtration rate based on cystain C	1	0	0	0	0	0
195	Metabolic	Diseases of the Genitourinary System	Chronic kidney disease	0	0	0	0	1	1
197	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Urinary albumin-to-creatinine ratio	1	0	0	1	0	0
198	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Urinary albumin-to-creatinine ratio	0	0	0	0	0	0
199	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Urinary albumin-to-creatinine ratio	0	0	0	0	0	0
200	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Microalbuminuria	1	0	0	0	0	0
201	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Estimated glomerular filtration rate based on serum creatinine	0	0	0	0	0	0
202	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Estimated glomerular filtration rate based on cystain C	0	0	0	0	0	0
203	Metabolic	Diseases of the Genitourinary System	Chronic kidney disease	0	0	0	0	0	0
204	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Urinary albumin-to-creatinine ratio	0	0	0	0	0	0
205	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Microalbuminuria	0	0	0	0	0	0
206	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Serum Urate	1	0	0	1	0	0
207	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Gout	1	1	1	0	0	0
208	Connective Tissue	Diseases of the Musculoskeletal System and Connective Tissue	Rheumatoid Arthritis	0	0	0	0	0	0
209	Cognitive	Mental Functions	Intelligence	0	0	0	0	0	0
210	Neurological	Diseases of the Nervous System	Insomnia	0	0	0	0	0	0
211	Neurological	Diseases of the Nervous System	Insomnia	0	0	0	0	0	0
212	Neurological	Diseases of the Nervous System	Insomnia	0	0	0	0	0	0
213	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Lymph:%CD4	1	0	0	0	0	0
214	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	NK:%Term	1	0	0	0	0	0
215	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	NK:%Eff	1	0	0	0	0	0
216	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	NKT:%4-8-	1	0	0	0	0	0
217	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	NKT:%4+R5-	1	0	0	0	0	0
218	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	T:%NKT	1	0	0	0	0	0
219	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Lymph:%CD8	1	0	0	0	0	0
220	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	T:%Vd1	1	0	0	0	0	0
221	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	T:%Vg9+Vd2-low	1	0	0	0	0	0
222	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	B:%Mature	1	0	0	0	0	0
223	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Mature B:%Memory	1	0	0	0	0	0
224	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	B Mem:%IgA	1	0	0	0	0	0
225	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	B Mem:%IgE	1	0	0	0	0	0
226	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	B Mem:%IgG	1	0	0	0	0	0
227	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	mDC:%CD1c-	1	0	0	0	0	0
228	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Lymph:%DP T	1	0	0	0	0	0
229	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	mDC:%CD1c+	1	0	0	0	0	0
230	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	mDC:%X-Presenting	1	0	0	0	0	0
231	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	mDC (2):%CD1c-	1	0	0	0	0	0
232	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	mDC (2):%CD1c+	1	0	0	0	0	0
233	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Lymph:%T	1	0	0	0	0	0
234	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Lymph:%NK	1	0	0	0	0	0
235	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD123 on mDC	1	0	0	0	0	0
236	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD123 on pDC	1	0	0	0	0	0
237	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD32 on pDC	1	0	0	0	0	0
238	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD27 on IgA+B	1	0	0	0	0	0
239	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD24 on IgA+ B	1	0	0	0	0	0
240	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD27 on IgG+B	1	0	0	0	0	0
241	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD161 on CD4mem	1	0	0	0	0	0
242	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	PD1 on CD4mem	1	0	0	0	0	0
243	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CXCR3 on CD4n	1	0	0	0	0	0
244	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD32 on mDC	1	0	0	0	0	0
245	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD34 on Stem	1	0	0	0	0	0
246	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD56 on NK eff	1	0	0	0	0	0
247	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD56 on 2+NK eff	1	0	0	0	0	0
248	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD337 on NK early	1	0	0	0	0	0
249	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD27 on CD4 T	1	0	0	0	0	0
250	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD39 on CD4 T	1	0	0	0	0	0
251	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD27 on CD8 T	1	0	0	0	0	0
252	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD3 on CD8 T	1	0	0	0	0	0
253	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD123 on 11c+123+DC	1	0	0	0	0	0
254	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD3 on DN T	1	0	0	0	0	0
255	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD3 on 127+DN T	1	0	0	0	0	0
256	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD32 on 11c+123+DC	1	0	0	0	0	0
257	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%Senescent	1	0	0	0	0	0
258	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8mem:%CD31+	1	0	0	0	0	0
259	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%TM-like	1	0	0	0	0	0
260	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%TE	1	0	0	0	0	0
261	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%SCM	0	0	0	0	0	0
262	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%Naive	1	0	0	0	0	0
263	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	DNT:%CD127+TEF	1	0	0	0	0	0
264	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%SCM	1	0	0	0	0	0
265	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%RTE	1	0	0	0	0	0
266	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	DPT:%Exhausted	1	0	0	0	0	0
267	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Exhausted	1	0	0	0	0	0
268	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%TM (1)	1	0	0	0	0	0
269	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%TM (2)	1	0	0	0	0	0
270	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Naive	1	0	0	0	0	0
271	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%CD244+ Naive	1	0	0	0	0	0
272	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%RTE	1	0	0	0	0	0
273	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%SCM	1	0	0	0	0	0
274	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%TEM	1	0	0	0	0	0
275	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%CM	1	0	0	0	0	0
276	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%RTE	0	0	0	0	0	0
277	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%Act(25+)	1	0	0	0	0	0
278	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%Act(25+38+)	1	0	0	0	0	0
279	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%39+	1	0	0	0	0	0
280	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%DR+73+39-25-	1	0	0	0	0	0
281	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD8:%Act(25+38+RO+)	1	0	0	0	0	0
282	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Eff(127-PD1-)	1	0	0	0	0	0
283	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Treg(39+73-)	1	0	0	0	0	0
284	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Act(38+)	1	0	0	0	0	0
285	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Treg(39+)	1	0	0	0	0	0
286	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Treg(39-73+)	1	0	0	0	0	0
287	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Treg(73+)	1	0	0	0	0	0
288	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Treg(39+73+)	1	0	0	0	0	0
289	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Act(25+127+)	1	0	0	0	0	0
290	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Act(DR+)	1	0	0	0	0	0
291	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Act(DR+38+)	1	0	0	0	0	0
292	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Act(PD1+)	1	0	0	0	0	0
293	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4:%Act(PD1+127+39-73-)	1	0	0	0	0	0
294	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%Th1* (1)	1	0	0	0	0	0
295	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%Th17	1	0	0	0	0	0
296	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%preTh17 (1)	1	0	0	0	0	0
297	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%Th22	1	0	0	0	0	0
298	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%preTh17 (2)	1	0	0	0	0	0
299	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%Th1* (2)	1	0	0	0	0	0
300	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%Th1* (3)	1	0	0	0	0	0
301	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%PD1-R6+	1	0	0	0	0	0
302	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:R6+	1	0	0	0	0	0
303	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	CD4mem:%Th1* (4)	1	0	0	0	0	0
